City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
326,oranjemund,-28.55,16.4333,63.32,90,98,16.73,NA,1675818531
327,poronaysk,49.2167,143.1167,0.81,91,75,4.18,RU,1675818250
328,san andres,12.5847,-81.7006,80.62,78,20,13.8,CO,1675818531
329,guerrero negro,27.9769,-114.0611,68.72,23,0,3.98,MX,1675818470
330,lorengau,-2.0226,147.2712,78.01,93,100,13.78,PG,1675818532
331,mezinovskiy,55.5042,40.3593,1.54,100,100,4.0,RU,1675818532
332,spring valley,36.108,-115.245,58.39,26,20,6.91,US,1675818532
333,kushmurun,52.4503,64.6311,5.95,96,100,7.7,KZ,1675818533
334,pasaje,-3.3333,-79.8167,78.17,84,79,1.54,EC,1675818380
335,saint-francois,46.4154,3.9054,23.68,93,1,0.0,FR,1675818533
336,rorvik,64.8621,11.2373,41.11,70,100,13.8,NO,1675818533
337,luena,-11.7833,19.9167,61.32,93,100,2.28,AO,1675818533
338,nyurba,63.2842,118.3319,-32.15,98,100,1.28,RU,1675818534
339,makinsk,52.6292,70.4169,5.07,97,100,2.77,KZ,1675818534
340,wamba,8.9333,8.6,73.71,19,98,4.59,NG,1675818534
341,emerald,-23.5333,148.1667,81.34,56,19,9.84,AU,1675818535
342,brigantine,39.4101,-74.3646,42.01,89,0,6.91,US,1675818535
343,aloleng,16.1307,119.7824,81.45,69,90,8.95,PH,1675818535
344,laguna,38.421,-121.4238,57.92,59,0,0.0,US,1675818535
345,cheyenne,41.14,-104.8203,31.77,67,0,6.91,US,1675818358
346,half moon bay,37.4636,-122.4286,60.53,67,0,14.97,US,1675818536
347,lahaina,20.8783,-156.6825,80.94,87,19,10.45,US,1675818536
348,bato,13.3528,123.3677,80.1,75,98,4.63,PH,1675818536
349,pakxan,18.3778,103.6601,75.0,67,0,2.59,LA,1675818537
350,tuktoyaktuk,69.4541,-133.0374,-25.6,75,100,3.44,CA,1675818240
351,flinders,-34.5833,150.8552,68.38,92,100,5.95,AU,1675818537
352,birao,10.2849,22.7882,73.74,16,14,11.86,CF,1675818537
353,xining,36.6167,101.7667,26.85,90,100,1.7,CN,1675818538
354,las juntas,19.4167,-104.7,74.73,81,64,3.58,MX,1675818538
355,zarubino,42.63,131.0922,22.48,59,3,15.12,RU,1675818538
356,mehamn,71.0357,27.8492,33.75,86,16,24.16,NO,1675818539
357,uusikaupunki,60.8004,21.4084,33.53,96,100,8.01,FI,1675818539
358,cayenne,4.9333,-52.3333,77.04,94,75,0.0,GF,1675818316
359,ust-kan,50.9276,84.761,-0.53,97,53,3.91,RU,1675818539
360,klaeng,12.7797,101.6483,84.94,100,92,1.14,TH,1675818539
361,buhovo,42.7667,23.5667,21.56,79,100,3.44,BG,1675818540
362,vangaindrano,-23.35,47.6,71.94,90,100,2.21,MG,1675818540
